,Title,Content,Author,Date and Time
370,The ‘red wave’ washout: How skewed polls fed a false U.S. election narrative,"U.S. Sen. Patty Murray, a Democrat, had consistently won re-election by healthy margins in her three decades representing Washington state. This year seemed no different: By midsummer, polls showed her cruising to victory over a Republican newcomer, Tiffany Smiley, by as much as 20 percentage points. So when a survey in late September by the Republican-leaning Trafalgar Group showed Murray clinging to a lead of just 2 points, it seemed like an aberration. But in October, two more Republican-leaning polls put Murray barely ahead, and a third said the race was a dead heat. As the red and blue trend lines of the closely watched RealClearPolitics average for the contest drew closer together, news organizations reported that Murray was suddenly in a fight for her political survival. Warning lights flashed in Democratic war rooms. If Murray was in trouble, no Democrat was safe.","Jim Rutenberg, The New York Times",2023-01-01
368,World steps into 2023 after turbulent year,"The world’s 8 billion people Saturday ushered in 2023, bidding farewell to a turbulent 12 months marked by war in Europe, stinging price rises, Lionel Messi’s World Cup glory and the deaths of Queen Elizabeth, Pele and former Pope Benedict. Many were ready to set aside pinched budgets and a virus that is increasingly forgotten but not gone, and embrace a party atmosphere on New Year’s Eve after a few pandemic-dampened years. In New York, confetti rained down on crowds after the famous ball drop in Times Square, a tradition that dates back to 1907, with visitors from across the world waiting for hours in the chilly rain to take part.",AFP-JIJI,2023-01-01
372,Death of former Pope Benedict overshadows New Year at Vatican,"Pope Francis marked the Roman Catholic Church’s traditional World Day of Peace on Sunday but the start of the new year at the Vatican was overshadowed by the death of his predecessor, Benedict. Francis presided at a Mass in St. Peter’s Basilica as the body of Benedict, who died on Saturday at the age of 95, was being prepared for three days of public viewing in the same church starting Monday. On Sunday the Vatican released the first images of the late Benedict, showing him dressed in red and gold liturgical vestments and laying in state in the chapel of the monastery where he died.","Philip Pullella, REUTERS",2023-01-02
363,U.S. ignored own scientists' warning in backing Atlantic wind farm,"U.S. government scientists warned federal regulators the South Fork offshore wind farm near the Rhode Island coast threatened the Southern New England Cod, a species so venerated in the region a wooden carving of it hangs in the Massachusetts state house. The Interior Department approved the project anyway. The warnings were delivered in unpublished correspondence weeks before Interior’s Bureau of Ocean Energy Management authorized the 12-turbine South Fork plan in November 2021. And they serve to underscore the potential ecological consequences and environmental tradeoff of a coming offshore wind boom along the U.S. East Coast. President Joe Biden wants the U.S. to deploy 30 gigawatts of offshore wind by the end of the decade.","Jennifer A. Dlouhy, Bloomberg",2023-01-02
364,"‘OK, Mexico, save me’: After China, this is where globalization may lead","As American companies recalibrate the risks of relying on Chinese factories to make their goods, some are shifting business to a country far closer to home: Mexico. The unfolding trend known as “near-shoring” has drawn the attention of no less than Walmart, the global retail empire with headquarters in Arkansas. Early in 2022, when Walmart needed $1 million of company uniforms — more than 50,000 in one order — it bought them not from its usual suppliers in China but from Preslow, a family-run apparel business in Mexico.","Peter S. Goodman, The New York Times",2023-01-02
365,War-themed video game fuels wave of Ukraine conflict misinformation,"Troops battle through burning streets. Missiles take down fighter jets. Drones pulverize tanks. The dramatic visuals have the trappings of real-life combat, but they are clips from video games fueling misinformation. Footage from the war-themed Arma 3 video game, often marked “live” or “breaking news” to make it appear genuine, has been used repeatedly in recent months in fake videos about the Russian offensive in Ukraine. The frequency and ease with which gaming footage is mistaken as real, even by some media broadcasters, and shared as authentic news on social media highlights what researchers call its serious potential to spread misinformation.","Anuj Chopra, AFP-Jiji",2023-01-02
371,Lula takes reins in Brazil and slams Bolsonaro's anti-democratic threats,"Luiz Inacio Lula da Silva was sworn in as Brazil’s president on Sunday, delivering a searing indictment of far-right former leader Jair Bolsonaro and vowing a drastic change of course to rescue a nation plagued with hunger, poverty and racism. In a speech to Congress after officially taking the reins of Latin America’s biggest country, the leftist said democracy was the true winner of the October presidential vote, when he ousted Bolsonaro in the most fraught election for a generation. Bolsonaro, who left Brazil for the United States on Friday after refusing to concede defeat, rattled the cages of Brazil’s young democracy with baseless claims of electoral weaknesses that birthed a violent movement of election deniers.","Anthony Boadle, Gabriel Stargardter, REUTERS",2023-01-02
369,"Russian drones attack critical infrastructure in and around Kyiv, officials say","Russian drones targeted infrastructure in Ukraine's capital and surrounding areas on Monday, damaging energy facilities and causing some power outages, officials said, as Russia extended its bombardment into the second day of 2023. Ukrainian forces shot down 45 Iranian-made Sahed drones fired by Russia on the first night of the year, President Volodymyr Zelenskyy said on Sunday, praising Ukrainians for showing gratitude to the troops and one another. ""Drones, missiles, everything else will not help them,"" he said of the Russians. ""Because we stand united. They are united only by fear.""","Pavel Polityuk, Herbert Villarraga, Reuters",2023-01-02
367,Kevin McCarthy struggles for top spot in new Republican-led U.S. Congress,"U.S. Rep. Kevin McCarthy struggled to beat back hard-line conservative opposition and secure enough votes to give him the speakership when the new House of Representatives convenes with a narrow Republican majority on Tuesday. After a poorer-than-expected showing in November midterm elections, McCarthy’s fellow Republicans have been embroiled in a public brawl over who should lead their party once it assumes control of the House. A group of hard-line conservatives oppose McCarthy’s candidacy, concerned that he is less deeply vested in the culture wars and partisan rivalries that have dominated the House and even more so since former President Donald Trump’s White House years.","Doina Chiacu, David Morgan, REUTERS",2023-01-03
358,U.S. in talks with Seoul on deterring North Korea from using nukes,"The U.S. is in discussions with South Korea on ways to deter Kim Jong Un’s regime from using nuclear weapons, according to a spokesperson for the National Security Council. Following a meeting in Cambodia last year, U.S. President Joe Biden and South Korean counterpart Yoon Suk-yeol asked their teams to plan for an effective coordinated response to a range of scenarios, including nuclear use by North Korea, the spokesperson said, adding that the two nations aren’t discussing joint nuclear exercises because South Korea is a nonnuclear weapons state. In response to a question earlier on Monday, after Yoon said his government wanted a more active role in managing atomic weapons on the Korean Peninsula. The National Security Council spokesperson said the U.S. is fully committed to the alliance with South Korea and providing extended deterrence through the full range of U.S. defense capabilities.","Jenny Leonard, Alexis Shanes, Sangmi Cha, Bloomberg",2023-01-03
