,Title,Content,Author,Date and Time
700,Greece vows not to impose COVID restrictions to travellers from China,"  ATHENS, Dec. 31 (Xinhua) -- Greece has no intention to impose restrictions on travellers from China over COVID-19, Greece's National Public Health Organization (EODY) announced on Saturday. ""Our country will not impose restrictive measures for international movements, in accordance with the recommendations of international organizations and the EU,"" EODY said in a press release. The recent surge of infections in China following the easing of COVID-19 response measures does not inspire much concern about the course of the pandemic, as there is currently no evidence that a new variant has emerged, the statement added. Greek authorities remain vigilant to protect public health, as the European Union (EU) follows closely developments due to the arrivals from China to EU member states once China lifts international travel restrictions in early January, EODY said.",Xinhua,2023-01-01 09:31
709,General Assembly approves UN regular budget for 2023,"  UNITED NATIONS, Dec. 30 (Xinhua) -- The General Assembly on Friday approved an annual regular budget for the United Nations of about 3.396 billion U.S. dollars. The 2023 budget is higher than that of 2022, which stood at 3.122 billion dollars. The regular budget covers UN activities across a range of areas, including political affairs, international justice and law, regional cooperation for development, human rights and humanitarian affairs, and public information. The world body has a separate peacekeeping budget, which has a fiscal cycle ending on June 30. The regular budget covers the calendar year.",Xinhua,2023-01-01 09:54
708,"Croatia enters eurozone, Schengen area","   ZAGREB, Jan. 1 (Xinhua) -- Croatia entered the eurozone and the European Union's (EU) border-free Schengen area on New Year's Day. This was the first time a European country joined both the eurozone and the Schengen area on the same day, an important milestone for Croatia, an EU member since 2013.   On Jan. 1, Croatia became the 20th member of the eurozone and the euro becomes its official currency. On the same date, it also became the 27th member of the Schengen area, which was created in 1985 to allow free movement for all 420 million nationals of the signatory countries. To help people adjust to the use of the euro, as of Jan. 1, the dual circulation of Croatia's currency kuna and euro will last two weeks. After 12:00 midnight on Jan. 14, only euros will be used. However, banks and post offices will continue to convert kuna into euro throughout 2023.",Xinhua,2023-01-01 10:18
710,Former Pope Benedict XVI passes away at 95,"ROME, Dec. 31 (Xinhua) -- Pope Emeritus Benedict XVI has died, aged 95, at his Vatican residence, the Vatican said on Saturday. ""With sorrow, I inform you that the Pope Emeritus, Benedict XVI, passed away today at 9:34 (0834 GMT) in the Mater Ecclesiae Monastery in the Vatican,"" Vatican spokesman Matteo Bruni said in a statement. Further information would be provided as soon as possible, he added. Born Joseph Ratzinger in Germany in 1927, Benedict became a theologian, before succeeding John Paul II as pontiff of the Catholic Church in 2005. He led it for some 8 years before stepping down in 2013, the first Pope to do so in almost 600 years. In recent days, his successor Pope Francis had asked Catholic worshippers to pray for Benedict XVI who had became ""very ill"" and monitored by doctors.",Xinhua,2023-01-01 13:45
707,"Imposing travel restrictions for China arrivals ""scientifically unjustified"": ACI EUROPE","   PARIS, Jan. 2 (Xinhua) -- The systematic pre-departure or on-arrival testing of travelers from China for COVID-19 is ""neither scientifically justified nor risk-based,"" the Europe branch of Airports Council International (ACI EUROPE) said recently. In a press release on Dec. 31, 2022, the organization expressed its ""regret regarding the actions of a number of states within the EU (European Union) and globally for unilaterally imposing health-related travel requirements."" ""These unilateral actions are at odds with all the experience and evidence gained over the past three years,"" it said, adding that ""these travel restrictions do not work.""   The ineffectiveness of international travel restrictions in preventing the spread of COVID-19 and its multiple variants of concern (VOCs) has been unequivocally recognized by both the European Centre for Disease Prevention and Control (ECDC) and the World Health Organization (WHO), ACI EUROPE noted. According to the organization, as states need to remain vigilant to the status and control of the virus, the focus should instead be on increasing genomic sequencing to identify possible new COVID-19 variants and related surveillance.   ""Such an approach, as urged by EU Health Commissioner (Stella) Kyriakides in a letter sent earlier this week to the member states, does not require the testing of travelers, but can be achieved by means such as the testing of wastewater from airports,"" the ACI EUROPE press release said. ""We are once again plunging back into a patchwork of unjustified and uncoordinated travel restrictions, which have no basis in scientific fact,"" commented Olivier Jankovec, director general of ACI EUROPE.",Xinhua,2023-01-03 08:53
711,Facts about Russia-Ukraine conflict: Ukrainian strike kills 63 Russian servicemen,"   MOSCOW/KIEV, Jan. 2 (Xinhua) -- The following are the latest developments in the Ukraine crisis: Ukrainian troops fired rockets on the temporary deployment facility of the Russian troops in the city of Makiivka in Donetsk, killing at least 63 Russian servicemen, the Russian Defense Ministry said Monday. Ukraine shelled the area with six U.S.-manufactured HIMARS rocket launchers, the ministry said, adding the Russian air defense systems shot down two rockets. ""All necessary assistance and support will be provided to the families and friends of the deceased servicemen,"" it said. - - - - Energy infrastructure facilities were damaged as a result of another massive Russian drone attack on the Ukrainian capital Kiev overnight Monday, local authorities said. Parts of Kiev were left without electricity and heating after the air strike, which also injured a 19-year-old man, Kiev Mayor Vitali Klitschko wrote on Telegram. A critical infrastructure facility and private houses were damaged in the Kiev region due to the attacks, Oleksii Kuleba, head of the Kiev Regional Military Administration, said on Telegram. Russia attacked Ukraine overnight Monday with 39 Iranian-made kamikaze drones Shahed-136 and Shahed-131, two Orlan-10 drones and a Kh-59 missile. All air targets have been destroyed by the Ukrainian air defense, the Air Force Command of the Ukrainian Armed Forces said on Facebook. - - - - Russia's armed forces launched a strike on Saturday with high-precision long-range air-based weapons at the defense industrial facilities of Ukraine involved in manufacturing assault unmanned aerial vehicles (UAVs) that are designed for committing terrorist attacks against Russia, the Defense Ministry said Sunday. The parking ramps and launch sites of the UAVs have been neutralized, it said, adding that the goal of the attack has been reached. - - - - At least one person was killed and 22 others were injured in Ukraine's capital Kiev in air strikes carried out by Russian forces on Saturday, Mayor Vitali Klitschko said on Telegram. The National Palace of Arts ""Ukraina,"" a hotel, a stadium and a private house were damaged in missile attacks on Kiev, said Kyrylo Tymoshenko, deputy head of the Ukrainian president's office. At least six people were wounded in the Russian strikes in the southern Mykolaiv region and four civilians were injured in the western Khmelnytsky region, according to local governors.",Xinhua,2023-01-03 09:13
712,"World leaders extend New Year greetings, hoping for peace, prosperity","BEIJING, Jan. 1 (Xinhua) -- As people around the world are celebrating the New Year, world leaders delivered New Year messages to their citizens, reviewing the past year and hoping for peace and prosperity in 2023. ""It was a year of truly pivotal, even fateful events. They became the frontier where we lay the foundation for our common future, our true independence,"" Russian President Vladimir Putin said in his New Year address on Saturday. ""Defending our Motherland is the sacred duty we owe to our ancestors and descendants,"" Putin said. ""The moral and historical truth is on our side."" In his New Year message, British Prime Minister Rishi Sunak described 2022 as ""tough"" and predicted the coming year will have its challenges. ""Before we enter the new year, I want to take a moment to reflect: 2022 was tough,"" Sunak said. Looking into the future, he promised that he is ""not going to pretend that all our problems will go away in the new year,"" adding that ""the government I lead is putting your priorities first."" While giving his New Year address on Saturday, German Chancellor Olaf Scholz said: ""Tonight is the end of a difficult year."" Germans are all feeling the effects of the Russia-Ukraine conflict in their everyday lives -- when shopping in the supermarket, at the gas station, or paying electricity bills, Scholz said, noting that the country will implement measures including tax breaks, higher child benefits and capping the cost of energy. ""Our cohesion is our greatest asset,"" he said. Italians have good reasons to be hopeful, but need to face the future with a ""forward-looking look and a vision,"" Italian President Sergio Mattarella said in his New Year speech on Saturday. ""Unity of purpose, cohesion, and moral strength ... thanks to all this, Italy has achieved encouraging results, and our resilience to the crisis generated by the pandemic has been proven by our significant growth in 2021 and 2022,"" said the president. While stressing the country had solid reasons to face the new year with confidence and to nurture hopes, Mattarella called on the nation to be aware of the challenges and opportunities of the current times. In his New Year message posted on Twitter, Dutch Prime Minister Mark Rutte said that the year of 2022 was ""a year of worries about rising supermarket prices and high energy bills."" ""What I hope for 2023, what I would like to ask everyone (to do), is that we keep looking out for each other in the Netherlands,"" he said. ""And especially to the people who are having a hard time, who are sick, or alone. May we also remain close to each other in the new year."" Cuban President Miguel Diaz-Canel on Saturday called on Cubans to work together in 2023. ""I invite you to work with passion and willingness to overcome what appears impossible,"" he said. Noting that ""we are making it to 2023 after together beating one of the most challenging years of Cuba's revolutionary history,"" Diaz-Canel urged Cubans to move forward, despite the U.S. embargo against the island. On Saturday evening, Namibia's President Hage Geingob said the country looks into the future with renewed hope and optimism in 2023 under the theme ""Year of Revival."" ""It is time for our collective revival, to shape our future, one step at a time as we march towards shared prosperity. As a nation, we now have a good reason, to cease looking backward, but rather to look ahead and pull forward into the direction of inclusive progress and prosperity,"" he said. Noting the impact of the pandemic and a major conflict in 2022, Senegalese President Macky Sall pointed out that Senegal's economy remains resilient. Senegal has consistently advocated for peace and African integration, as well as the defense of the continent's interests in global political, economic and financial governance, said Sall, who is also the African Union chief. Delivering a message on the eve of the New Year, Zambian President Hakainde Hichilema called on citizens to prioritize community service and love for each other. Expecting people to focus on hard work instead of bickering, the president said that the country is on track to unlock the economy and that all energies should be channeled towards economic transformation. ""We are looking at the New Year 2023 after having undergone the bleakest of times, immense hardships, as well as the uncertainties and hopelessness of the last year,"" said Sri Lankan President Ranil Wickremesinghe on Saturday. Thanking the Sri Lankans for their ""patience and courage,"" the president said that ""we must boldly implement the proposed social, economic and political reforms to build a prosperous and productive Sri Lanka in the coming decade."" Giving his New Year address via audio and video recordings, Thai Prime Minister Prayut Chan-o-cha on Saturday referred to the year of 2022 as a ""victory year"" for Thailand that was able to go through crises on top of crises in the past. The prime minister called on the Thai people to be good hosts for foreigners, perform their duties to the fullest potential, and continue to be a ""moving force"" for national and social development. The Pakistani nation has emerged from difficulties in the year 2022 due to its citizens' hard work, bravery, sacrifice, determination and consistency despite facing various challenges, Pakistani President Arif Alvi said on Sunday. Calling for national unity, discipline and continuous hard work with passion and dedication to make Pakistan a prosperous, developed, democratic and stable country, the president also wished for world peace, harmony, progress and prosperity in the new year. Also on Sunday, Indian Prime Minister Narendra Modi extended New Year greetings and wished that the New Year will be filled with hope, happiness and lots of success. ""Have a great 2023! May it be filled with hope, happiness and lots of success. May everyone be blessed with wonderful health,"" he tweeted.",Xinhua,2023-01-03 10:18
713,DPRK calls for exponential increase in nuclear arsenal,"SEOUL, Jan. 1 (Xinhua) -- The Democratic People's Republic of Korea (DPRK) calls for an exponential increase in its nuclear arsenal, the official Korean Central News Agency (KCNA) reported Sunday. The ongoing situation on the Korean Peninsula ""highlights the importance and necessity of a mass-producing of tactical nuclear weapons and calls for an exponential increase of the country's nuclear arsenal,"" the KCNA reported, citing a report made by the country's top leader Kim Jong Un at the Sixth Enlarged Plenary Meeting of the eighth Central Committee of the Workers' Party of Korea. The report stressed the importance of bolstering the DPRK's nuclear force, and made clear that the nuclear force ""considers it as the first mission to deter war and safeguard peace and stability."" A task was also raised to develop another intercontinental ballistic missile system ""whose main mission is quick nuclear counterstrike,"" said the KCNA. In the meantime, the National Aerospace Development Administration will expedite its efforts to launch the country's first military satellite at the earliest date possible ""by pushing ahead with the full preparation for a reconnaissance satellite and its vehicle in progress at the final stage,"" said the report. The meeting was held from Monday to Saturday.",Xinhua,2023-01-03 10:19
714,Alain Berset takes office as new Swiss president,"GENEVA, Jan. 1 (Xinhua) -- Alain Berset from the Social Democrat party of Switzerland on Sunday took office as President of the Swiss Confederation for the second time. Berset is also head of the Swiss Federal Department of Home Affairs. Born in Fribourg on April 9, 1972, he previously held the presidential post in 2018. ""After the pandemic and in this current unstable situation, the role of the President is to strengthen social cohesion in the country. In this regard, fighting against inequality and for equal access to healthcare, education and culture has been my priority since I entered politics,"" Berset told local media recently. He said that Switzerland has a fundamental interest in a stable and well-structured relationship with the European Union, and keeping neutrality is the only option for Switzerland. Each year in December, the Swiss parliament elects the President of the Swiss Confederation from among the seven members of the Federal Council for a 12-month term of office. Berset was elected President of the Swiss Confederation for 2023 on Dec. 7, 2022.",Xinhua,2023-01-03 10:21
719,Sweden assumes six-month EU Council presidency,"  STOCKHOLM, Jan. 1 (Xinhua) -- Sweden on Sunday took over from the Czech Republic at the helm of the six-month rotating Presidency of the Council of the European Union (EU). Sweden will hold the presidency for six months until June 30, 2023. On Dec. 14, 2022, Swedish Prime Minister Ulf Kristersson presented priorities of the Swedish presidency -- security, resilience, prosperity, democratic values and the rule of law. Kristersson told his country's Parliament that ""Sweden is taking over the Presidency at a time when the European Union is facing unprecedented challenges. A greener, more secure and freer Europe is the foundation of our priorities."" In the field of security (or unity), the Swedish presidency will prioritize ""continued economic and military support for Ukraine, as well as support for Ukraine's path towards the EU,"" according to the government's website. ""The fight against cross-border organized crime will continue, responding to citizens' legitimate demands for safe and secure communities,"" it said.   In the field of resilience (or competitiveness), ""the EU must continue to provide the best possible conditions for a sound and open economy based on free competition, private investment and successful digitization,"" it said, adding that the Swedish presidency would seek to anchor a concerted approach to European competitiveness ""at the top of the political agenda."" In the field of prosperity (or green and energy transition), it said that the Swedish presidency would continue efforts to tackle high and volatile energy prices while addressing long-term energy market reform. The government also stressed the need to provide the right regulatory framework and policies to attract investments required for the transition to ""a resource-efficient, fossil-free future."" And in the field of democratic values and the rule of law, the Swedish presidency emphasized the importance to uphold ""the principle of the rule of law and fundamental rights."" Kristersson is scheduled to meet with European Commission President Ursula von der Leyen in the northern Swedish city of Kiruna on Jan. 13, when they would hold talks on relevant work plans during the Swedish presidency and issues that need to be resolved in the near future. Sweden joined the EU on Jan. 1, 1995, and the country held the Presidency of the Council of the European Union twice before, respectively in 2001 and 2009.",Xinhua,2023-01-03 10:24
